Business Legal Name,Ownership Type,Trade Name,NAICS Code,NAICS Description,License Start Date,"City, State, ZIP"
CHAMPION WINE CELLARS INC,Corporation,CHAMPION CELLARS,445310,"Beer, Wine, and Liquor Stores",01-Dec-69,"SEATTLE, WA 98109"
EUROPEAN VINE SELECTIONS OF WA,Corporation,EUROPEAN VINE SELECTIONS OF WA,445310,"Beer, Wine, and Liquor Stores",01-Nov-72,"SEATTLE, WA 98112"
PIKE & WESTERN CO,Corporation,PIKE & WESTERN CO,445310,"Beer, Wine, and Liquor Stores",16-Jul-75,"SEATTLE, WA 98101"
MCCARTHY & SCHIERING WINE MERCHANTS INC,Corporation,WINE MERCHANTS INC QUEEN ANNE,445310,"Beer, Wine, and Liquor Stores",01-Nov-90,"SEATTLE, WA 98109"
MCCARTHY & SCHIERING WINE MERCHANTS INC,Corporation,MCCARTHY & SCHIERING WINE MERCHANT,445310,"Beer, Wine, and Liquor Stores",13-Jun-86,"SEATTLE, WA 98115"
LAPITSKIY VALENTIN,Sole Proprietor,THE TAPMAN L V,445310,"Beer, Wine, and Liquor Stores",01-Apr-96,"LYNNWOOD, WA 98087"
LEAF CELLARS LLC,LLC*Limited Liability Co,CADENCE,445310,"Beer, Wine, and Liquor Stores",01-Oct-98,"SEATTLE, WA 98108"
JM CELLARS COMPANY,Corporation,JM CELLARS COMPANY,445310,"Beer, Wine, and Liquor Stores",10-Sep-98,"SEATTLE, WA 98105"
SEATTLE BOTTLEWORKS INC,Corporation,BOTTLEWORKS INC,445310,"Beer, Wine, and Liquor Stores",01-Nov-98,"SEATTLE, WA 98103"
HERNDON MICHAEL E,Sole Proprietor,CITY CELLARS FINE WINES,445310,"Beer, Wine, and Liquor Stores",01-Jan-00,"SEATTLE, WA 98103"
LIQUOR CONTROL SPECIALISTS INC,Corporation,LIQUOR CONTROL SPECIALISTS INC,445310,"Beer, Wine, and Liquor Stores",01-Jan-04,"SEATTLE, WA 98119-4478"
RAINIER WINE LLC,LLC*Limited Liability Co,RAINIER WINE,445310,"Beer, Wine, and Liquor Stores",25-May-07,"SEATTLE, WA 98115"
FULL THROTTLE BOTTLES LLC,LLC*Limited Liability Co,FULL THROTTLE BOTTLES,445310,"Beer, Wine, and Liquor Stores",15-Jan-08,"SEATTLE, WA 98108"
FREMONT WINE OUTLET LLC,LLC*Limited Liability Co,THE WINE OUTLET,445310,"Beer, Wine, and Liquor Stores",01-Feb-08,"SEATTLE, WA 98103"
VINO VERITE LLC,LLC*Limited Liability Co,VINO VERITE,445310,"Beer, Wine, and Liquor Stores",01-Sep-08,"SEATTLE, WA 98118"
BEER AUTHORITY LLC THE,LLC*Limited Liability Co,THE BEER AUTHORITY,445310,"Beer, Wine, and Liquor Stores",01-Mar-09,"SEATTLE, WA 98125-4427"
FULL PULL WINES LLC,LLC*Limited Liability Co,FULL PULL WINES LLC,445310,"Beer, Wine, and Liquor Stores",15-Jul-09,"SEATTLE, WA 98134-2236"
STILL LIQUOR LLC,LLC*Limited Liability Co,STILL,445310,"Beer, Wine, and Liquor Stores",15-Dec-09,"SEATTLE, WA 98101"
BLUESTONE LLC,LLC*Limited Liability Co,CHUCKS HOP SHOP,445310,"Beer, Wine, and Liquor Stores",01-Feb-14,"SEATTLE, WA 98122-2835"
BIN 41 LLC,LLC*Limited Liability Co,BIN 41,445310,"Beer, Wine, and Liquor Stores",01-Mar-10,"SEATTLE, WA 98116"
